Estructura,Tècnica de construcció,Nomenclatura del castell,Nomenclatura alternativa del castell,Alteració,Índex Joc,Coord X,Coord Y,Índex Gran TpC,Coord X,Coord Y,Índex TpC,Coord,,Pisos d’alçada,Denominació del castell,Denominació alternativa del castell,Sobrenom del castel,Sobrenom alternatiu del castell,Puntuació Concurs / castell carregat,Puntuació Concurs / castell descarregat,Estat,Núm de castellers òptim,Alçada aproximada del castell (metres),Pes estimat del castell (kg),Pes estimat del tronc del castell sobre el peu (kg),Temps total d’execució de castell carregat*,Temps total d’execució de castell descarregat*,Gamma del castell,Gamma del castell detallada,Gamma del castell,Gamma del castell detallada,Gamma del castell,Gamma del castell detallada,carregat,descarregat,carregat,descarregat,carregat,descarregat,carregat,descarregat,Enllaç Viquipèdia en català,descarregat,carregat,TOTAL Núm de colles que l’han dut a terme/intentat,Núm de castells descarregats,Núm de castells carregats,Núm d’intents,Núm d’intents desmuntats,Núm de castells assolits,Núm de castells no assolits,Núm de castells caiguts,TOTAL castells,número de baixos òptim,número d’agulles òptim,número de crosses òptim,número de contraforts òptim,número de daus/vents/mà i mà òptim,número de laterals/girats òptim,número de primeres mans òptim,número de taps òptim,Núm òptim  total castellers pinya,número de baixos òptim,número de segons òptim,número de terços òptim,número de quarts òptim,número de cinquens òptim,número de sisens òptim,número de setens òptim,número de vuitens òptim,número de novens òptim,número de desens òptim,número d’onzens òptim,número de dotzens òptim,Núm òptim  total castellers tronc,número de dosos òptim,número d’acotxadors òptim,número d’enxanetes òptim,Núm òptim  total castellers pom,,,Entrada de baixos,Entrada de segons,Entrada de terços,Entrada de quarts,Entrada de quints/cinquens,Entrada de sisens,Entrada de vuitens,Entrada de novens,Entrada de desens,Entrada d’onzens,Entrada de dotzens,Entrada de dosos,Entrada d’acotxador/aixecador/cassoleta,Entrada d’enxaneta,Entrada baix del pilar/agulla,Entrada segon del pilar/agulla,Entrada terç del pilar/agulla,Entrada quart del pilar/agulla,Entrada quint del pilar/agulla,Entrada sisè del pilar/agulla,Entrada setè del pilar/agulla,Entrada vuitè del pilar/agulla,Entrada novè del pilar/agulla,Entrada desè del pilar/agulla,Entrada onzè del pilar/agulla,Entrada dotzè del pilar/agulla,Entrada enxaneta del pilar/agulla,Primera aleta,Segona aleta,Tercera aleta,Quarta aleta,Temps total d’execució de castell carregat,Sortida d’enxaneta,Sortida d’acotxador/aixecador/cassoleta,Sortida de dosos,Sortida de dotzens,Sortida d’onzens,Sortida de desens,Sortida de novens,Sortida de vuitens,Sortida de setens,Sortida de sisens,Sortida de quints/cinquens,Sortida de quarts,Sortida de terços,Sortida de segons,Sortida de baixos,Sortida enxaneta del pilar/agulla,Sortida dotzè del pilar/agulla,Sortida onzè del pilar/agulla,Sortida desè del pilar/agulla,Sortida novè del pilar/agulla,Sortida vuitè del pilar/agulla,Sortida setè del pilar/agulla,Sortida sisè del pilar/agulla,Sortida quint del pilar/agulla,Sortida quart del pilar/agulla,Sortida terç del pilar/agulla,Sortida segon del pilar/agulla,Sortida baix del pilar/agulla,Temps total d’execució de castell descarregat
"el pilar
",bàsic,Pd1,,,1,,,,,,,,,1,pilar d'u,,,,sense puntuació,sense puntuació,només joc,1,"1,75",75,75,"0m 0,000s ","0m 0,000s ",gamma afeccionat,,,,,,,,,,,,,,,,,,,,,,=AU2+AV2,=AW2+AX2,=AV2+AW2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd2,,,2,,,,,,,,,2,pilar de dos,,,,sense puntuació,sense puntuació,només joc,2,"3,5",150,75,"0m 0,000s ","0m 8,025s ",gamma afeccionat,,,,,,,,,,,,,,,,,,,,,,=AU3+AV3,=AW3+AX3,=AV3+AW3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd2n,,,3,,,,,,,,,2,pilar de dos net,,,,sense puntuació,sense puntuació,només joc,2,"3,5",150,150,"0m 0,000s ","0m 6,047s ",gamma afeccionat,,,,,,,,,,,,,,,,,,,,,,=AU4+AV4,=AW4+AX4,=AV4+AW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd3,,,4,,,0,,,,,,3,pilar de tres,,,,sense puntuació,sense puntuació,només joc,24,"3,2",1800,150,"0m 12,059s ","0m 32,011s ",gamma amateur,,,,,,segle XVIII,segle XVIII,,,,,,,,sense dades,sense dades,,sense dades,sense dades,sense dades,sense dades,=AU5+AV5,=AW5+AX5,=AV5+AW5,=AU5+AV5+AW5+AX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd3n,,,5,,,0,,,,,,3,pilar de tres net,,,,sense puntuació,sense puntuació,només joc,3,"3,2",225,150,"0m 22,060s ","0m 42,037s ",gamma amateur,,,,,,segle XVIII,segle XVIII,,,,,,,,sense dades,sense dades,,sense dades,sense dades,sense dades,sense dades,=AU6+AV6,=AW6+AX6,=AV6+AW6,=AU6+AV6+AW6+AX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd4f,,♭,6,,,1,,,,,,4,pilar de quatre amb folre,,,,sense puntuació,sense puntuació,assajos,54,"4,55",4425,85,"0m 19,047s ","0m 44,072s ",gamma amateur,,,,,,2013,2013,,,,,,,,sense dades,sense dades,=AR7+AS7,sense dades,sense dades,sense dades,sense dades,=AU7+AV7,=AW7+AX7,=AV7+AW7,=AU7+AV7+AW7+AX7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd4,,,7,,,2,,,1,C1F1,,4,pilar de quatre,espadat de quatre,,,sense puntuació,sense puntuació,assolit,41,"4,55",2665,195,"0m 22,026s ","0m 41,075s ",gamma de sis,gamma bàsica de sis,,,,,segle XVIII,segle XVIII,,,,,,,https://ca.wikipedia.org/wiki/Pilar_de_4,,,,54082,383,140,162,=AU8+AV8,=AW8+AX8,=AV8+AW8,=AU8+AV8+AW8+AX8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd4n,,♯,8,,,3,,,,,,4,pilar de quatre net,,,,sense puntuació,sense puntuació,assajos,4,"4,55",300,225,,,gamma de sis,,,,,,,,,,,,,,https://ca.wikipedia.org/wiki/Pilar_de_4#Net,,,,100,1,1,0,=AU9+AV9,=AW9+AX9,=AV9+AW9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd5f,,♭,9,,,0,,,,,,5,pilar de cinc amb folre,,,,sense puntuació,sense puntuació,només joc,67,"5,9",,,,,gamma de set,,,,,,,,,,,,,,,,,,6,0,1,0,=AU10+AV10,=AW10+AX10,=AV10+AW10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"el pilar
",bàsic,Pd5,,,10,,,4,,,2,C1F2,,5,pilar de cinc,espadat de cinc,,,135,155,assolit,49,"5,9",3185,260,"0m 46,045s ","1m 9,067s ",gamma de set,gamma bàsica de set,,,,,1805,1805,,,,,,,https://ca.wikipedia.org/wiki/Pilar_de_5,117,,,26637,1022,661,268,=AU11+AV11,=AW11+AX11,=AV11+AW11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
